№,Наименование спортивного сооружения,Район Санкт-Петербурга,Адрес объекта,Наименование эксплуатирующей организации,Площадь (кв.м)
3374,Спортивный зал,Невский,"Пр.Космонавтов,29/7",МПЦ «Московский»,288
3375,Спортивный зал,Невский,"Витебский, д. 41, корпус 1",МПЦ «Московский»,288
3376,Тренажёрный зал,Невский,"ул. Фрунзе, 4","СПб ГУ МПЦ «Московский», клуб Атлант",150
3377,Спортивный зал,Невский,"Варшавская ул., д. 7",Электромашиностроительный профессиональный лицей,288
3378,Спортивный зал,Невский,"пр. Космонавтов, 96","СПб ГБПОУ ""МЦПК «Автосервис»",288
3379,Спортивный зал,Невский,"пр. Космонавтов, 96","СПб ГБПОУ ""МЦПК «Автосервис»",288
3380,Спортивный зал,Невский,"Костюшко,68",УМВД Московского района,288
3381,Спортивный зал,Невский,"пр. Космонавтов, д. 41","СПб ГБУ ""СРЦ Московскогорайона""",162
3382,Спортивный зал,Невский,"Пр. Юрия Гагарина,8",ФГУП «Петербургский спортивно-концертный комплекс»,442
3383,Спортивный зал,Невский,"Пр. Юрия Гагарина,8",ФГУП «Петербургский спортивно-концертный комплекс»,420
3384,Спортивный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",320
3385,Спортивный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",702
3386,Спортивный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",225
3387,Спортивный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",285
3388,Спортивный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",226
3389,Спортивный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",226
3390,Спортивный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",226
3391,Зал настольного тенниса,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",145
3392,Тренажёрный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",154
3393,Спортивный зал,Невский,"Новоизмайловский пр., дом 16, корп. 6, лит. А","ФГБУ ""Управление межвузовского студенческого городка в СПб""",226
